cluster,score_plus,time_first_reply,duration,number_triads,depth,engagement_intensity,bottlenecks,mean_distance,width,number_triads_closed,subcommunities.strong,centr.degree,number_participants,centr.pagerank,density
0,56.09071729957806,3.0970471896875345,78.80189206206754,38.598854731766124,4.349608197709464,1.9382662164587139,1.8996383363471971,1.5637081275482159,4.637130801687764,0.1377335744424352,4.272151898734177,2.391825267299576,6.449367088607595,0.26295470466190757,0.4704841659682915
1,42.65748031496063,1.523916787780615,68.84857142306184,35.47849788007268,3.354330708661417,1.5138625370290788,2.1698970321017566,1.0550792308491779,4.637795275590551,0.12931556632344035,4.9182313749242885,2.222698078770445,6.403694730466384,0.23654697338255998,0.3860859371414923
2,128.7207352466946,1.6302532354409596,119.08655591160274,74.30183811673653,3.8074814575943243,1.719544319109961,1.8655272492744277,1.4135597127000867,5.980651402773299,0.17316994517897452,5.123186069009996,2.509668933795542,8.121573685907771,0.24877491433512033,0.4521645455032185
3,72.51714135021098,0.8050366292924055,77.36121207770029,40.434599156118146,4.22415611814346,1.814795509818039,2.151898734177215,1.3821502912162407,4.945675105485232,0.2231012658227848,5.097310126582278,2.3685233530063345,7.318565400843882,0.24220637164288442,0.4164985551328588
