,K,size,num_subs,distortion_min,distortion_avg,inertia,silhouette
0,2.0,0.0,26288.0,13.186761654312246,22.79025231716009,6403629.158446433,0.5133926725527175
1,3.0,0.0,26288.0,12.361226107432332,21.695860578215957,5677692.8245603815,0.13187952483005963
2,4.0,0.0,26288.0,12.039225626104395,26.960841405001357,5311571.763899744,0.1314143730842556
3,5.0,0.0,26288.0,11.770035290949156,26.263976091279105,5026615.831522268,0.1408212797348401
4,6.0,0.0,26288.0,11.507186936426638,26.83105348503078,4791117.657284939,0.13217472272480849
5,7.0,0.0,26288.0,11.35360769129782,26.69894659425996,4613616.519016281,0.12587402662769312
6,8.0,0.0,26288.0,11.130800929100415,25.937040275047867,4465147.319130321,0.07171208858570635
7,9.0,0.0,26288.0,10.963150382651072,26.05005325194835,4332242.893310708,0.07997276796271836
8,10.0,0.0,26288.0,10.820533953708127,26.87160209488561,4217527.566424476,0.08060647367130788
